EllipseShape	253.6	170.4	322.4	252.79999999999998
EllipseShape	351.2	426.4	479.2	316.0
EllipseShape	497.6	240.00000000000003	252.8	203.20000000000002
ParallelepipedShape	293.6	80.80000000000001	352.8	117.6
ParallelepipedShape	308.8	311.20000000000005	378.4	255.20000000000002
LineShape	227.2	129.6	310.4	310.4
LineShape	276.8	380.0	516.8	178.4
LineShape	536.8	162.4	240.0	172.79999999999998
LineShape	211.2	165.6	343.2	465.6
LineShape	317.6	476.0	456.8	320.0
LineShape	579.2	223.20000000000002	385.6	195.20000000000002
LineShape	134.4	250.4	192.0	187.20000000000002
LineShape	222.4	232.00000000000003	384.0	400.79999999999995
LineShape	298.4	426.4	377.6	232.00000000000003
LineShape	299.2	132.0	372.0	212.00000000000003
LineShape	183.2	466.4	351.2	343.20000000000005
LineShape	440.8	332.79999999999995	304.8	452.0
LineShape	245.6	572.0	432.0	653.6
LineShape	516.8	585.6	441.6	465.6
LineShape	356.0	405.6	321.6	384.0
LineShape	223.2	283.20000000000005	319.2	433.6
LineShape	371.2	445.6	500.8	435.19999999999993
LineSegmentWithCirclesAtEndsShape	321.6	57.599999999999994	407.2	146.4
LineSegmentWithCirclesAtEndsShape	215.2	260.79999999999995	497.6	72.0
LineSegmentWithCirclesAtEndsShape	578.4	48.80000000000001	320.0	302.4
LineSegmentWithCirclesAtEndsShape	333.6	424.0	193.6	226.4
LineSegmentWithCirclesAtEndsShape	185.6	196.79999999999998	284.0	394.4
ParallelepipedShape	302.4	207.20000000000002	350.4	232.79999999999998
ParallelepipedShape	373.6	305.6	434.4	201.6
ParallelepipedShape	385.6	201.6	441.6	148.8
ParallelepipedShape	585.6	183.20000000000002	682.4	160.0
ParallelepipedShape	650.4	294.4	768.0	235.20000000000002
ParallelepipedShape	552.8	231.20000000000002	644.0	159.20000000000002
ParallelepipedShape	648.0	108.80000000000001	574.4	129.6
ParallelepipedShape	522.4	275.20000000000005	526.4	341.6
ParallelepipedShape	520.0	487.19999999999993	665.6	426.4
ParallelepipedShape	697.6	442.4	568.0	523.1999999999999
ParallelepipedShape	539.2	547.1999999999999	391.2	468.0
ParallelepipedShape	258.4	496.0	232.0	434.4
ParallelepipedShape	199.2	490.4	228.8	356.79999999999995
ParallelepipedShape	213.6	333.6	272.0	147.20000000000002
ParallelepipedShape	262.4	140.0	474.4	203.20000000000002
ParallelepipedShape	481.6	184.79999999999998	554.4	286.4
ParallelepipedShape	587.2	394.4	703.2	268.79999999999995
ParallelepipedShape	684.8	269.6	501.6	243.20000000000002
LineSegmentWithCirclesAtEndsShape	440.0	181.6	388.0	212.79999999999998
LineSegmentWithCirclesAtEndsShape	354.4	326.4	640.0	428.79999999999995
LineSegmentWithCirclesAtEndsShape	524.0	413.6	458.4	508.79999999999995
LineSegmentWithCirclesAtEndsShape	441.6	474.4	505.6	341.6
